Species_Code,Common_Name,Scientific_Name,Kingdom,Phylum,Class,Order,Family,Genus,Species,taxanomic_source,taxanomic_id,species_definition
LEZ,California Lizardfish,Synodus lucioceps,Animalia,Chordata,Actinopterygii,Aulopiformes,Synodontidae,Synodus,Synodus lucioceps,www.marinespecies.org,272132,Synodus lucioceps
LPS,Leopard Shark,Traikis semifasciata,Animalia,Chordata,Elasmobranchii,Carcharhiniformes ,Triakidae,Triakis,Traikis semifasciata,www.marinespecies.org,279060,Traikis semifasciata
LSD,Longfin Sanddab,Citharichthys xanthostigma,Animalia,Chordata,Actinopterygii,Pleuronectiformes ,Paralichthyidae,Citharichthys,Citharichthys xanthostigma,www.marinespecies.org,275699,Citharichthys xanthostigma
MKL,Mackerel (Family Scombridae),Scombridae,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,NA,NA,www.marinespecies.org,125559,Mackerel only identified up to family - Scombridae
NBL,Northern Blue Rockfish,Sebastes,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes,www.marinespecies.org,126175,Sebastes
OLV,Olive Rockfish,Sebastes serranoides,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes serranoides,www.marinespecies.org,274852,Sebastes serranoides
OPL,Opaleye,Girella nigricans,Animalia,Chordata,Actinopterygii,Perciformes,Kyphosidae,Girella,Girella nigricans,www.marinespecies.org,280865,Girella nigricans
OYT,Olive or Yellowtail Rockfish,Sebastes serranoides or flavidus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes serranoides or flavidus,www.marinespecies.org,126175,Could not decipher between Yellowtail or Olive Rockfish (274795 or 274852)
PBO,Pacific Bonito,Sarda chiliensis,Animalia,Chordata,Actinopterygii,Perciformes ,Scombridae,Sarda,Sarda chiliensis,www.marinespecies.org,273810,Sarda chiliensis
PGL,Painted Greenling,Oxylebius pictus,Animalia,Chordata,Actinopterygii,Scorpaeniformes ,Hexagrammidae,Oxylebius,Oxylebius pictus,www.marinespecies.org,240743,Oxylebius pictus
PHL,Pacific Halibut,Hippoglossus stenolepis,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae ,Hippoglossus,Hippoglossus stenolepis,www.marinespecies.org,274290,Hippoglossus stenolepis
PLP,Pile Perch,Rhacochilus vacca,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Rhacochilus ,Rhacochilus vacca,www.marinespecies.org,282576,Rhacochilus vacca
PMK,Pacific  (Chub) Mackerel,Scomber japonicus,Animalia,Chordata,Actinopterygii,Perciformes,Scombridae,Scomber,Scomber japonicus,www.marinespecies.org,127022,Scomber japonicus
PSD,Pacific Sanddab,Citharichthys sordidus,Animalia,Chordata,Actinopterygii,Pleuronectiformes ,Paralichthyidae ,Citharichthys,Citharichthys sordidus,www.marinespecies.org,275694,Citharichthys sordidus
PSL,Petrale Sole,Eopsetta jordani,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Eopsetta ,Eopsetta jordani,www.marinespecies.org,280690,Eopsetta jordani
PSR,Pelagic Stingray,Pteroplatytrygon violacea,Animalia,Chordata,Elasmobranchii ,Myliobatiformes,Dasyatidae,Pteroplatytrygon,Pteroplatytrygon violacea,www.marinespecies.org,158540,Pteroplatytrygon violacea
QBK,Quillback Rockfish,Sebastes maliger,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebasetes,Sebastes maliger,www.marinespecies.org,274815,Sebastes maliger
RAY,Bat Ray,Myliobatis californica,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,Myliobatis californica,www.marinespecies.org,271485,Myliobatis californica
RGL,Rock Greenling,Hexagrammos lagocephalus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Hexagrammidae,Hexagrammos,Hexagrammos lagocephalus,www.marinespecies.org,240735,Hexagrammos lagocephalus
RLS,Rubberlip Seaperch,Rhacochilus toxotes,Animalia,Chordata,Actinopterygii,Perciformes ,Embiotocidae,Rhacochilus ,Rhacochilus toxotes,www.marinespecies.org,282575,Rhacochilus toxotes
RSL,Rock Sole,Lepidopsetta bilineata,Animalia,Chordata,Actinopterygii,Pleuronectiformes ,Pleuronectidae,Lepidopsetta,Lepidopsetta bilineata,www.marinespecies.org,281305,Lepidopsetta bilineata
RSP,Rainbow Seaperch,Hypsurus caryi,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Hypsurus ,Hypsurus caryi,www.marinespecies.org,240717,Hypsurus caryi
RSY,Rosy Rockfish,Sebastes rosaceus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes rosaceus,www.marinespecies.org,274841,Sebastes rosaceus
RWS,Rock Wrasse,Halichoeres semicinctus,Animalia,Chordata,Actinopterygii,Perciformes ,Labridae,Halichoeres,Halichoeres semicinctus,www.marinespecies.org,275798,Halichoeres semicinctus
SAL,Salema,Xenistius californiensis,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Xenistius,Xenistius californiensis,www.marinespecies.org,283178,Xenistius californiensis
SDB,Sanddab spp.,Citharichthys,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae,Citharichthys,Citharichthys,www.marinespecies.org,158786,Citharichthys
SDF,Spiny Dogfish,Squalus acanthias,Animalia,Chordata,Elasmobranchii,Squaliformes ,Squalidae,Squalus ,Squalus acanthias,www.marinespecies.org,105923,Squalus acanthias
SEN,Senorita,Oxyjulis californica,Animalia,Chordata,Actinopterygii,Perciformes ,Labridae,Oxyjulis,Oxyjulis californica,www.marinespecies.org,240727,Oxyjulis californica
SHP,California Sheephead,Semicossyphus pulcher,Animalia,Chordata,Actinopterygii,Perciformes,Labridae ,Semicossyphus,Semicossyphus pulcher,www.marinespecies.org,282753,Semicossyphus pulcher
SHS,Scalyhead Sculpin,Artedius harringtoni,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Cottidae ,Artedius,Artedius harringtoni,www.marinespecies.org,279701,Artedius harringtoni
SLV,Silver Salmon,Oncorhynchus kisutch,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus kisutch,www.marinespecies.org,127184,Oncorhynchus kisutch
SMT,Silversides (Family Atherinopsidae),Atherinopsidae,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinopsidae,NA,NA,www.marinespecies.org,266995,Silversides only identified up to family - Atherinopsidae
SPF,Soupfin Shark,Galeorhinus galeus,Animalia,Chordata,Elasmobranchii ,Carcharhiniformes ,Triakidae,Galeorhinus ,Galeorhinus galeus,www.marinespecies.org,105820,Galeorhinus galeus
SQR,Squarespot Rockfish,Sebastes hopkinsi,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes hopkinsi,www.marinespecies.org,274800,Sebastes hopkinsi
SRC,Sarcastic Fringehead,Neoclinus blanchardi,Animalia,Chordata,Actinopterygii,Perciformes,Chaenopsidae,Neoclinus,Neoclinus blanchardi,www.marinespecies.org,281679,Neoclinus blanchardi
SRD,Pacific Sardine,Sardinops sagax,Animalia,Chordata,Actinopterygii,Clupeiformes ,Clupeidae,Sardinops,Sardinops sagax,www.marinespecies.org,217452,Sardinops sagax
SRG,Sargo,Anisotremus davidsonii,Animalia,Chordata,Actinopterygii,Perciformes,Haemulidae,Anisotremus,Anisotremus davidsonii,www.marinespecies.org,279617,Anisotremus davidsonii
SRP,Sharpnose Surfperch,Phanerodon atripes,Animalia,Chordata,Actinopterygii,Perciformes,Embiotocidae,Phanerodon,Phanerodon atripes,www.marinespecies.org,279409,Phanerodon atripes
SRY,Starry Rockfish,Sebastes constellatus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes constellatus,www.marinespecies.org,274783,Sebastes constellatus
SSD,Speckled Sanddab,Citharichthys stigmaeus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Paralichthyidae ,Citharichthys,Citharichthys stigmaeus,www.marinespecies.org,275696,Citharichthys stigmaeus
SSL,Sand Sole,Psettichthys melanostictus,Animalia,Chordata,Actinopterygii,Pleuronectiformes,Pleuronectidae,Psettichthys,Psettichthys melanostictus,www.marinespecies.org,282396,Psettichthys melanostictus
SSP,Striped Seaperch,Embiotoca lateralis,Animalia,Chordata,Actinopterygii,Perciformes ,Embiotocidae,Embiotoca,Embiotoca lateralis,www.marinespecies.org,240740,Embiotoca lateralis
STS,Starry Skate,Beringraja stellulata,Animalia,Chordata,Actinopterygii,Rajiformes,Rajidae,Beringraja,Beringraja stellulata,www.marinespecies.org,1461135,Beringraja stellulata
SUN,Ocean Sunfish,Mola mola,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Molidae,Mola,Mola mola,www.marinespecies.org,127405,Mola mola
THR,Common Thresher Shark,Alopias vulpinus,Animalia,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Alopias vulpinus,www.marinespecies.org,105836,Alopias vulpinus
TIG,Tiger Rockfish,Sebastes nigrocinctus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes nigrocinctus,www.marinespecies.org,274825,Sebastes nigrocinctus
TRE,Treefish,Sebastes serriceps,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes serriceps,www.marinespecies.org,274853,Sebastes serriceps
TSM,Top smelt,Atherinops affinis,Animalia,Chordata,Actinopterygii,Atheriniformes,Atherinidae,Atherinops ,Atherinops affinis,www.marinespecies.org,279812,Atherinops affinis
TUB,Tubesnout,Aulorhynchus flavidus,Animalia,Chordata,Actinopterygii,Gasterosteiformes ,Aulorhynchidae ,Aulorhynchus,Aulorhynchus flavidus,www.marinespecies.org,279839,Aulorhynchus flavidus
UKR,Unknown rockfish,Sebastes,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,NA,www.marinespecies.org,126175,Only identified up to order Sebastes
UNK,Unknown,NA,Animalia,Chordata,NA,NA,NA,NA,NA,www.marinespecies.org,1821,Species not recorded - Most likely from the Actinopterygii or Elasmobranchii class
VER,Vermilion Rockfish,Sebastes miniatus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes miniatus,www.marinespecies.org,274820,Sebastes miniatus
WCR,White Croaker,Genyonemus lineatus,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae ,Genyonemus,Genyonemus lineatus,www.marinespecies.org,280830,Genyonemus lineatus
WHP,White Seaperch,Phanerodon furcatus,,,,,,,,,,
WHT,Ocean Whitefish,Caulolatilus princeps,Animalia,Chordata,Actinopterygii,Perciformes,Malacanthidae ,Caulolatilus ,Caulolatilus princeps,www.marinespecies.org,276217,Caulolatilus princeps
WID,Widow Rockfish,Sebastes entomelas,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes entomelas,www.marinespecies.org,274791,Sebastes entomelas
WLF,Wolf Eel,Anarrhichthys ocellatus,Animalia,Chordata,Actinopterygii,Perciformes,Anarhichadidae ,Anarrhichthys,Anarrhichthys ocellatus,www.marinespecies.org,279605,Anarrhichthys ocellatus
WSB,White Seabass,Atractoscion nobilis,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Atractoscion,Atractoscion nobilis,www.marinespecies.org,278535,Atractoscion nobilis
YFC,Yellowfin Croaker,Umbrina roncador,Animalia,Chordata,Actinopterygii,Perciformes,Sciaenidae,Umbrina,Umbrina roncador,www.marinespecies.org,273802,Umbrina roncador
YLE,Yelloweye Rockfish,Sebastes ruberrimus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes ruberrimus,www.marinespecies.org,274844,Sebastes ruberrimus
YTJ,Yellowtail Jack,Seriola lalandi,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Seriola,Seriola lalandi,www.marinespecies.org,218436,Seriola lalandi
YTL,Yellowtail Rockfish,Sebastes flavidus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes flavidus,www.marinespecies.org,274795,Sebastes flavidus
