Grid Cell ID,Area,Site (MPA/ REF),Old/New,Lat Center Point,Lon Center Point,Lat 1,Lon 1,Lat 2,Lon 2,Lat 3,Lon 3,Lat 4,Lon 4,Cell Sampled 2017,Cell Sampled 2007,Cell Sampled 2008,Cell Sampled 2009,Cell Sampled 2010,Cell Sampled 2011,Cell Sampled 2012,Cell Sampled 2013,Cell Sampled 2014,Cell Sampled 2015,Cell Sampled 2016,Cell Sampled 2018,Cell Sampled 2019,Cell Sampled 2020,Cell Sampled 2021,Cell Sampled 2022,Cell Sampled 2023,Cell Sampled 2024,Cell Sampled 2025
AN04,AN,REF,,37.22525,-122.42242,37.22750,-122.42518,37.22750,-122.41965,37.22300,-122.42518,37.22300,-122.41965,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
AN05,AN,REF,,37.21625,-122.41767,37.21850,-122.42043,37.21850,-122.41490,37.21400,-122.42043,37.21400,-122.41490,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AN06,AN,REF,,37.19692,-122.41300,37.19917,-122.41577,37.19917,-122.41023,37.19467,-122.41577,37.19467,-122.41023,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE
AN07,AN,REF,,37.19167,-122.41050,37.19391,-122.41327,37.19391,-122.40773,37.18942,-122.41327,37.18942,-122.40773,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE
AN08,AN,REF,,37.18500,-122.40475,37.18725,-122.40752,37.18725,-122.40198,37.18275,-122.40752,37.18275,-122.40198,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
AN09,AN,REF,,37.16992,-122.38167,37.17216,-122.38443,37.17216,-122.37890,37.16767,-122.38443,37.16767,-122.37890,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
AN10,AN,REF,,37.16475,-122.38117,37.16700,-122.38393,37.16700,-122.37840,37.16250,-122.38393,37.16250,-122.37840,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
AN11,AN,REF,,37.16692,-122.37450,37.16916,-122.37727,37.16916,-122.37173,37.16467,-122.37727,37.16467,-122.37173,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
AN12,AN,MPA,,37.11675,-122.34725,37.11900,-122.35002,37.11900,-122.34448,37.11450,-122.35002,37.11450,-122.34448,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
AN13,AN,MPA,,37.11167,-122.34633,37.11391,-122.34910,37.11391,-122.34357,37.10942,-122.34910,37.10942,-122.34357,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
AN14,AN,MPA,,37.10692,-122.34633,37.10917,-122.34910,37.10917,-122.34357,37.10467,-122.34910,37.10467,-122.34357,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
AN15,AN,MPA,,37.10095,-122.34633,37.10320,-122.34910,37.10320,-122.34357,37.09870,-122.34910,37.09870,-122.34357,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE
AN16,AN,MPA,,37.09908,-122.34042,37.10133,-122.34318,37.10133,-122.33765,37.09684,-122.34318,37.09684,-122.33765,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE
AN17,AN,MPA,,37.09792,-122.33458,37.10016,-122.33735,37.10016,-122.33182,37.09567,-122.33735,37.09567,-122.33182,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
AN18,AN,MPA,,37.09800,-122.32833,37.10025,-122.33110,37.10025,-122.32557,37.09575,-122.33110,37.09575,-122.32557,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE
AN19,AN,MPA,,37.09233,-122.32858,37.09458,-122.33135,37.09458,-122.32582,37.09009,-122.33135,37.09009,-122.32582,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE
AN20,AN,MPA,,37.08750,-122.32858,37.08975,-122.33135,37.08975,-122.32582,37.08525,-122.33135,37.08525,-122.32582,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
AN21,AN,MPA,,37.09075,-122.32200,37.09300,-122.32477,37.09300,-122.31923,37.08850,-122.32477,37.08850,-122.31923,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
AN22,AN,MPA,,37.09570,-122.31667,37.09795,-122.31943,37.09795,-122.31390,37.09346,-122.31943,37.09346,-122.31390,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE
ANMM,AN,MPA,,,,,,,,,,,,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE
ANRR,AN,REF,,,,,,,,,,,,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BH01,BH,REF,,38.35418,-123.09546,38.35192,-123.09831,38.35640,-123.09836,38.35643,-123.09260,38.35196,-123.09256,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE
BH02,BH,REF,,38.34930,-123.10292,38.35155,-123.10579,38.35156,-123.10006,38.34705,-123.10006,38.34705,-123.10578,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
BH03,BH,REF,,38.34793,-123.09410,38.35019,-123.09696,38.35019,-123.09124,38.34568,-123.09124,38.34568,-123.09696,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
BH04,BH,REF,,38.34590,-123.08735,38.34815,-123.09022,38.34816,-123.08450,38.34365,-123.08449,38.34364,-123.09021,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
BH05,BH,REF,,38.34278,-123.10027,38.34504,-123.10314,38.34504,-123.09741,38.34053,-123.09741,38.34053,-123.10313,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
BH06,BH,REF,,38.33912,-123.09280,38.34137,-123.09566,38.34137,-123.08994,38.33686,-123.08994,38.33686,-123.09566,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE
BH07,BH,REF,,38.33877,-123.08447,38.34102,-123.08733,38.34102,-123.08161,38.33652,-123.08161,38.33651,-123.08733,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BH08,BH,MPA,,38.32690,-123.09029,38.32915,-123.09315,38.32915,-123.08743,38.32465,-123.08742,38.32464,-123.09314,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BH09,BH,MPA,,38.32706,-123.08273,38.32931,-123.08560,38.32931,-123.07988,38.32481,-123.07987,38.32480,-123.08559,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
BH10,BH,MPA,,38.32144,-123.08982,38.32369,-123.09268,38.32369,-123.08696,38.31919,-123.08695,38.31918,-123.09267,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE
BH11,BH,MPA,,38.32135,-123.08314,38.32360,-123.08600,38.32361,-123.08028,38.31910,-123.08028,38.31910,-123.08600,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
BH12,BH,MPA,,38.31619,-123.09471,38.31844,-123.09757,38.31844,-123.09185,38.31394,-123.09184,38.31393,-123.09756,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
BH13,BH,MPA,,38.31618,-123.08753,38.31843,-123.09039,38.31844,-123.08467,38.31393,-123.08466,38.31393,-123.09038,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
BH14,BH,MPA,,38.31646,-123.07830,38.31694,-123.08230,38.31961,-123.07769,38.31598,-123.07430,38.31331,-123.07891,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
BH15,BH,MPA,,38.31079,-123.09097,38.31304,-123.09384,38.31305,-123.08812,38.30854,-123.08811,38.30854,-123.09383,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE
BH16,BH,MPA,,38.31077,-123.08391,38.31302,-123.08678,38.31302,-123.08106,38.30852,-123.08105,38.30851,-123.08677,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
BH17,BH,MPA,,38.31108,-123.07508,38.31207,-123.07893,38.31411,-123.07383,38.31010,-123.07124,38.30805,-123.07633,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
BH18,BH,MPA,,38.30452,-123.08618,38.30677,-123.08904,38.30678,-123.08333,38.30227,-123.08332,38.30227,-123.08904,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE
BH19,BH,MPA,,38.30449,-123.07931,38.30676,-123.08216,38.30674,-123.07644,38.30223,-123.07647,38.30225,-123.08219,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
BH20,BH,MPA,,38.30553,-123.07195,38.30695,-123.07557,38.30839,-123.07015,38.30412,-123.06833,38.30268,-123.07375,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
BH21,BH,REF,,38.29260,-123.05160,38.29233,-123.05563,38.29578,-123.05195,38.29288,-123.04757,38.28943,-123.05126,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
BH22,BH,REF,,38.28898,-123.04528,38.29123,-123.04814,38.29123,-123.04242,38.28673,-123.04242,38.28672,-123.04814,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE
BH23,BH,REF,,38.28320,-123.04835,38.28545,-123.05121,38.28545,-123.04549,38.28095,-123.04549,38.28094,-123.05121,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
BH24,BH,REF,,38.27786,-123.04842,38.28011,-123.05128,38.28012,-123.04557,38.27561,-123.04556,38.27561,-123.05128,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE
BH25,BH,REF,,38.28481,-123.03726,38.28706,-123.04012,38.28706,-123.03441,38.28255,-123.03440,38.28255,-123.04012,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
BH26,BH,REF,,38.27932,-123.03800,38.28157,-123.04086,38.28157,-123.03514,38.27707,-123.03514,38.27706,-123.04086,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
BH27,BH,REF,,38.27924,-123.03077,38.28149,-123.03363,38.28149,-123.02792,38.27699,-123.02791,38.27699,-123.03363,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE
BHMM,BH,MPA,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
BHRR,BH,REF,,,,,,,,,,,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
BL01,BL,MPA,,35.70785,-121.33225,35.71010,-121.33500,35.71010,-121.32950,35.70560,-121.33500,35.70560,-121.32950,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BL02,BL,MPA,,35.70730,-121.32340,35.70950,-121.32620,35.70950,-121.32060,35.70510,-121.32620,35.70510,-121.32060,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
BL03,BL,MPA,,35.70150,-121.33575,35.70370,-121.33850,35.70370,-121.33300,35.69930,-121.33850,35.69930,-121.33300,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
BL04,BL,MPA,,35.69870,-121.32955,35.70090,-121.33230,35.70090,-121.32680,35.69650,-121.33230,35.69650,-121.32680,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
BL05,BL,MPA,,35.70155,-121.32350,35.70380,-121.32630,35.70380,-121.32070,35.69930,-121.32630,35.69930,-121.32070,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE
BL06,BL,MPA,,35.70235,-121.31690,35.70460,-121.31960,35.70460,-121.31420,35.70010,-121.31960,35.70010,-121.31420,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE
BL07,BL,MPA,,35.69365,-121.33085,35.69590,-121.33360,35.69590,-121.32810,35.69140,-121.33360,35.69140,-121.32810,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE
BL08,BL,MPA,,35.69355,-121.32455,35.69580,-121.32730,35.69580,-121.32180,35.69130,-121.32730,35.69130,-121.32180,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
BL09,BL,MPA,,35.69400,-121.31855,35.69630,-121.32130,35.69630,-121.31580,35.69170,-121.32130,35.69170,-121.31580,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE
BL10,BL,MPA,,35.69655,-121.31240,35.69880,-121.31520,35.69880,-121.30960,35.69430,-121.31520,35.69430,-121.30960,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
BL11,BL,MPA,,35.69115,-121.31170,35.69340,-121.31450,35.69340,-121.30890,35.68890,-121.31450,35.68890,-121.30890,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
